"Year","Title","Budget","Worldwide","Release","Duration","MPAA.Rating","IMDB.Rating","Genre","Award","Nomination","MPAA.Category","Month","Profitability","CPI","Profitability.Adjusted","Worldwide.Adjusted","Budget.Adjusted"
"2019","Alien 3",5.5e+07,158500000,"22/5/2019",114,"R",6.4,"Action",0,0,"X",5,103500000,255.7,153687282.229965,235356852.497096,81669570.2671313
"2019","Blade",4.5e+07,131237688,"21/8/2019",164,"R",8,"Action",0,0,"X",8,86237688,255.7,128054453.087108,194875010.578397,66820557.4912892
"2019","Wyatt Earp",6.3e+07,25052000,"24/6/2019",191,"PG-13",6.7,"Action",0,0,"TV-MA",6,-37948000,255.7,-56349033.6817654,37199746.8060395,93548780.4878049
"2019","Legal Eagles",4e+07,49851591,"18/6/2019",116,"PG",6,"Comedy",0,0,"PG",6,9851591,255.7,14628640.0621371,74024691.1655052,59396051.1033682
"2019","Bicentennial Man",9e+07,87420776,"17/12/2019",132,"PG",6.9,"Drama",0,0,"PG",12,-2579224,255.7,-3829893.01277584,129811221.969803,133641114.982578
"2019","Clear and Present Danger",6.2e+07,207500000,"3/8/2019",141,"PG-13",6.9,"Action",0,0,"TV-MA",8,145500000,255.7,216053135.888502,308117015.098722,92063879.2102207
"2019","Ride With the Devil",3.5e+07,630779,"24/11/2019",138,"R",6.7,"Drama",0,0,"X",11,-34369221,255.7,-51034900.1724739,936644.542973287,51971544.7154472
"2019","Three Kings",4.8e+07,107752036,"1/10/2019",114,"R",7.1,"Action",0,0,"X",10,59752036,255.7,88725874.5946574,160001135.918699,71275261.3240418
"2019","The Man Who Shot Liberty Valance",3200000,8e+06,"22/4/2019",123,"Approved",8.1,"Drama",0,0,"PG",4,4800000,255.7,7127526.13240418,11879210.2206736,4751684.08826945
"2019","Teenage Mutant Ninja Turtles III",2.1e+07,42273609,"19/3/2019",93,"PG",6.7,"Action",0,0,"PG",3,21273609,255.7,31589209.1829268,62772136.0121951,31182926.8292683
"2019","Predator",1.8e+07,98267558,"12/6/2019",107,"R",7.8,"Action",0,0,"X",6,80267558,255.7,119189399.422764,145917622.41928,26728222.9965157
"2019","Liar Liar",4.5e+07,302710615,"21/3/2019",86,"PG-13",6.9,"Comedy",0,0,"TV-MA",3,257710615,255.7,382674821.460511,449495378.9518,66820557.4912892
"2019","Marvin's Room",2.3e+07,12803305,"20/12/2019",98,"PG-13",6.7,"Drama",0,0,"TV-MA",12,-10196695,255.7,-15141085.4326365,19011643.9518002,34152729.3844367
"2019","Mo' Better Blues",1e+07,16153000,"3/8/2019",130,"R",6.7,"Drama",0,0,"X",8,6153000,255.7,9136597.56097561,23985610.3368177,14849012.775842
"2019","Jade",5e+07,9812870,"13/10/2019",95,"R",5.3,"Crime",0,0,"X",10,-40187130,255.7,-59673920.6794425,14571143.1997677,74245063.8792102
"2019","The Rose",8500000,29200000,"7/11/2019",130,"R",7.7,"Drama",0,0,"X",11,20700000,255.7,30737456.445993,43359117.3054588,12621660.8594657
"2019","Licence to Kill",4.2e+07,156167015,"14/7/2019",133,"PG-13",6.6,"Action",0,0,"TV-MA",7,114167015,255.7,169526746.431475,231892600.090012,62365853.6585366
"2019","Haakon Haakonsen",8500000,15024232,"1/3/2019",92,"PG",6.5,"Adventure",0,0,"PG",3,6524232,255.7,9687840.43205575,22309501.2915215,12621660.8594657
"2019","The Wiz",2.4e+07,2.2e+07,"24/10/2019",134,"G",5.5,"Adventure",0,0,"PG",10,-2e+06,255.7,-2969802.55516841,32667828.1068525,35637630.6620209
"2019","Last Action Hero",8.5e+07,137298489,"18/6/2019",130,"PG-13",6.4,"Action",0,0,"TV-MA",6,52298489,255.7,77658093.1318235,203874701.726481,126216608.594657
"2019","Casino Royale",1.2e+07,41744718,"28/4/2019",144,"PG-13",8,"Action",0,0,"TV-MA",4,29744718,255.7,44167969.7595819,61986785.0905923,17818815.3310105
"2019","Firefox",2.1e+07,45785720,"18/6/2019",136,"PG",5.9,"Action",0,0,"PG",6,24785720,255.7,36804347.2938444,67987274.1231127,31182926.8292683
"2019","Rush Hour",3.5e+07,245300000,"18/9/2019",98,"PG-13",7,"Action",0,0,"TV-MA",9,210300000,255.7,312274738.675958,364246283.391405,51971544.7154472
"2019","The Man Who Knew Too Little",2e+07,13801755,"14/11/2019",94,"PG",6.6,"Comedy",0,0,"PG",11,-6198245,255.7,-9203781.91927991,20494243.6324042,29698025.5516841
"2019","Amistad",4e+07,58250151,"12/12/2019",155,"R",7.3,"Biography",0,0,"X",12,18250151,255.7,27099672.5360046,86495723.6393728,59396051.1033682
"2019","Moonraker",3.1e+07,210300000,"29/6/2019",126,"PG",6.2,"Action",0,0,"PG",6,179300000,255.7,266242799.070848,312274738.675958,46031939.6051103
"2019","The Terminator",6400000,78019031,"26/10/2019",107,"R",8.1,"Action",0,0,"X",10,71619031,255.7,106347190.631243,115850558.807782,9503368.17653891
"2019","Arachnophobia",3.1e+07,53208180,"18/7/2019",109,"PG-13",6.5,"Comedy",0,0,"TV-MA",7,22208180,255.7,32976954.85482,79008894.4599303,46031939.6051103
"2019","Spice World",2.5e+07,56042592,"23/1/2019",93,"PG",3.6,"Comedy",0,0,"PG",1,31042592,255.7,46095184.5203252,83217716.4599303,37122531.9396051
"2019","Time Bandits",1.2e+07,37400000,"6/11/2019",110,"PG",6.9,"Adventure",0,0,"PG",11,25400000,255.7,37716492.4506388,55535307.7816492,17818815.3310105
"2019","Mr. Nice Guy",6e+06,31716953,"20/3/2019",88,"PG-13",6.2,"Action",0,0,"TV-MA",3,25716953,255.7,38187136.3652729,47096544.0307782,8909407.66550523
"2019","Anaconda",4.5e+07,136998907,"11/4/2019",89,"PG-13",4.8,"Action",0,0,"TV-MA",4,91998907,255.7,136609294.54065,203429852.03194,66820557.4912892
"2019","Any Given Sunday",6e+07,100230832,"22/12/2019",162,"R",6.9,"Drama",0,0,"X",12,40230832,255.7,59738813.8350755,148832890.490128,89094076.6550523
"2019","Babe: Pig in the City",8e+07,69131860,"25/11/2019",97,"PG",5.8,"Adventure",0,0,"PG",11,-10868140,255.7,-16138114.970964,102653987.235772,118792102.206736
"2019","My Own Private Idaho",2500000,6402775,"29/9/2019",104,"R",7,"Drama",0,0,"X",9,3902775,255.7,5795235.58362369,9507488.7775842,3712253.19396051
"2019","In & Out",3.5e+07,83226569,"19/9/2019",90,"PG-13",6.4,"Comedy",0,0,"TV-MA",9,48226569,255.7,71611693.9216028,123583238.63705,51971544.7154472
"2019","Oscar and Lucinda",12500000,1612957,"2/1/2019",132,"R",6.6,"Drama",0,0,"X",1,-10887043,255.7,-16166184.0598142,2395081.90998839,18561265.9698026
"2019","Mad Max 2: The Road Warrior",2e+06,24601332,"24/12/2019",96,"R",7.6,"Action",0,0,"X",12,22601332,255.7,33560746.7619048,36530549.3170732,2969802.55516841
"2019","Double Impact",1.6e+07,29090445,"9/8/2019",110,"R",5.6,"Action",0,0,"X",8,13090445,255.7,19438018.5046458,43196438.945993,23758420.4413473
"2019","Mrs. Winterbourne",2.5e+07,10039566,"19/4/2019",105,"PG-13",6.2,"Comedy",0,0,"TV-MA",4,-14960434,255.7,-22214767.5598142,14907764.3797909,37122531.9396051
"2019","Tea with Mussolini",1.4e+07,14395874,"14/5/2019",117,"PG",6.9,"Comedy",0,0,"PG",5,395874,255.7,587833.808362369,21376451.6945412,20788617.8861789
"2019","New York, New York",1.4e+07,13800302,"22/6/2019",120,"PG",6.8,"Adventure",0,0,"PG",6,-199698,255.7,-296531.81533101,20492086.0708479,20788617.8861789
"2019","Can't Hardly Wait",1e+07,25358996,"12/6/2019",100,"PG-13",6.5,"Comedy",0,0,"TV-MA",6,15358996,255.7,22806592.7828107,37655605.5586527,14849012.775842
"2019","Pet Sematary",11500000,57469850,"21/4/2019",103,"R",6.5,"Fantasy",0,0,"X",4,45969850,255.7,68260688.9953543,85337053.6875726,17076364.6922184
"2019","Halloween 3: Season of the Witch",2500000,14400000,"22/10/2019",98,"R",5.1,"Horror",0,0,"X",10,11900000,255.7,17670325.203252,21382578.3972125,3712253.19396051
"2019","Dudley Do-Right",2.2e+07,9818792,"27/8/2019",77,"PG",3.9,"Comedy",0,0,"PG",8,-12181208,255.7,-18087891.3217189,14579936.7851336,32667828.1068525
"2019","The Net",2.2e+07,110521733,"28/7/2019",114,"PG-13",5.9,"Action",0,0,"TV-MA",7,88521733,255.7,131446034.425668,164113862.53252,32667828.1068525
"2019","Dreaming of Joseph Lees",3250000,7680,"29/10/2019",92,"R",6.3,"Drama",0,0,"X",10,-3242320,255.7,-4814525.11033682,11404.0418118467,4825929.15214866
"2019","Desert Blue",5e+06,99147,"4/6/2019",90,"R",6.1,"Drama",0,0,"X",6,-4900853,255.7,-7277282.88095238,147223.506968641,7424506.38792102
"2019","Waking Ned Devine",3e+06,55193251,"20/11/2019",91,"PG",7.3,"Comedy",0,0,"PG",11,52193251,255.7,77501825.0911731,81956528.9239257,4454703.83275261
"2019","Inchon",4.6e+07,4408636,"17/9/2019",140,"PG",2.8,"Drama",0,0,"PG",9,-41591364,255.7,-61759069.5400697,6546389.22880372,68305458.7688734
"2019","Mission: Impossible",8e+07,457697994,"21/5/2019",110,"PG-13",7.1,"Action",0,0,"TV-MA",5,377697994,255.7,560844233.831591,679636336.038328,118792102.206736
