Date,Close,Dividends,Stock Splits
2019-12-31,66.96949768,0,0
2020-01-31,71.63899994,0,0
2020-02-28,66.96250153,0,0
2020-03-31,58.09749985,0,0
2020-04-30,67.33499908,0,0
2020-05-29,71.6760025,0,0
2020-06-30,70.90249634,0,0
2020-07-31,74.39749908,0,0
2020-08-31,81.47650146,0,0
2020-09-30,73.27999878,0,0
2020-10-30,80.80549622,0,0
2020-11-30,87.72000122,0,0
2020-12-31,87.63200378,0,0
2021-01-29,91.36799622,0,0
2021-02-26,101.0954971,0,0
2021-03-31,103.1259995,0,0
2021-04-30,117.6750031,0,0
2021-05-31,122.0895004,0,0
2021-06-30,122.0895004,0,0
2021-07-30,134.7265015,0,0
2021-08-31,144.6974945,0,0
2021-09-30,133.6759949,0,0
2021-10-29,148.0460052,0,0
2021-11-30,141.8975067,0,0
2021-12-31,144.852005,0,0
2022-01-31,135.3034973,0,0
2022-02-28,135.0570068,0,0
2022-03-31,139.0675049,0,0
2022-04-29,114.1094971,0,0
2022-05-31,113.762001,0,0
2022-06-30,108.9629974,0,0
2022-07-29,116.3199997,0,20
2022-08-31,108.2200012,0,0
2022-09-30,95.65000153,0,0
2022-10-31,94.51000214,0,0
2022-11-30,100.9899979,0,0
2022-12-30,88.23000336,0,0
